13.087231, 12.973242, 12.938831, 13.078255, 12.915314, 12.813782, 12.935350, 12.921508, 12.935929, 12.368862, 12.181324, 12.185359, 12.205335, 12.175389, 12.178634, 12.184422, 12.188203, 12.181447, 12.183393, 12.176091, 12.179400, 12.169546, 12.185381, 12.181405, 12.175107, 12.173798, 12.194711, 12.193513, 12.181360, 12.241069
10.644083, 10.565974, 10.667808, 10.582058, 10.631524, 10.613481, 10.105528, 10.630194, 10.632811, 11.158330, 11.235395, 10.170118, 11.258931, 11.250304, 10.644715, 10.567516, 10.086452, 10.054377, 10.697236, 11.207654, 10.580625, 11.207299, 10.573130, 10.538409, 10.655392, 10.653452, 10.561486, 10.657239, 10.565997, 10.629402
2.330723, 2.270598, 2.318036, 2.323136, 2.538956, 2.393071, 2.398058, 2.380145, 2.351788, 2.368374, 2.364699, 2.367382, 2.378604, 2.428260, 2.435152, 2.431917, 2.444819, 2.908212, 2.424843, 2.388267, 2.380135, 2.428484, 2.542234, 2.469146, 2.365349, 2.409805, 2.316692, 4.246312, 2.376519, 2.368718
2.314309, 2.325451, 2.310868, 2.333754, 2.321459, 2.329378, 2.324194, 2.325816, 2.330289, 2.330148, 2.342778, 2.337847, 2.319283, 2.347371, 2.347761, 2.337496, 2.334848, 2.342000, 2.354977, 2.343955, 2.315795, 2.339641, 2.341980, 2.343118, 2.340039, 2.345068, 2.355578, 2.344139, 2.386493, 2.343475
2.329292, 2.334611, 2.334980, 2.332402, 2.333537, 2.343167, 2.347865, 2.343971, 2.340278, 2.335807, 2.336386, 2.332542, 2.340711, 2.342400, 2.336020, 2.338242, 2.339335, 2.343009, 2.335138, 2.337729, 2.352695, 2.343775, 2.344028, 2.350228, 2.351115, 2.345127, 2.347533, 2.347985, 2.353423, 2.348236
2.347962, 2.347601, 2.351679, 2.348184, 2.351099, 2.354119, 2.342710, 2.345421, 2.343365, 2.356330, 2.350722, 2.343482, 2.345448, 2.356873, 2.352678, 2.348852, 2.356285, 2.348042, 2.347869, 2.355745, 2.354299, 2.349246, 2.394077, 2.356764, 2.348452, 2.357678, 2.348283, 2.361404, 2.356548, 2.349902
2.349895, 2.391129, 2.352115, 2.350963, 2.354413, 2.353660, 2.356550, 2.351693, 2.359351, 2.357632, 2.348625, 2.368431, 2.354479, 2.351100, 2.355513, 2.356282, 2.351832, 2.355664, 2.351212, 2.350837, 2.359735, 2.351691, 2.359362, 2.359406, 2.356621, 2.368832, 2.356898, 2.364565, 2.353172, 2.366743
2.351775, 2.346298, 2.360637, 2.445151, 2.349878, 2.354405, 2.356564, 2.361399, 2.359446, 2.358565, 2.358769, 2.359852, 2.357303, 2.353648, 2.365248, 2.355935, 2.360840, 2.358565, 2.467514, 2.364020, 2.355863, 2.363547, 2.362921, 2.360843, 2.353586, 2.355692, 2.358989, 2.357419, 2.362346, 2.353692
2.357373, 2.362590, 2.362910, 2.352409, 2.355066, 2.354884, 2.369214, 2.354627, 2.355548, 2.367274, 2.359036, 2.360592, 2.356019, 2.357432, 2.363683, 2.354660, 2.358534, 2.367662, 2.359492, 2.364987, 2.366234, 2.360665, 2.364790, 2.360147, 2.364384, 2.353208, 2.360982, 2.360820, 2.358499, 2.364487
2.362022, 2.360588, 2.364119, 2.359473, 2.357294, 2.362881, 2.362699, 2.362153, 2.371228, 2.367367, 2.362642, 2.362090, 2.379035, 2.359738, 2.357154, 2.365156, 2.367015, 2.359830, 2.358941, 2.367414, 2.360226, 2.364131, 2.365130, 2.369370, 2.358543, 2.358358, 2.366279, 2.356801, 2.359441, 2.358194
